Filename,Labels
9579_train.jpg,refrigerator
14876_train.jpg,motorbikes-101
9592_train.jpg,refrigerator
8048_train.jpg,airplanes-101
4854_train.jpg,tripod
6584_train.jpg,people
9198_train.jpg,picnic-table
8070_train.jpg,airplanes-101
20160_train.jpg,triceratops
4842_train.jpg,tripod
18533_train.jpg,iguana
14813_train.jpg,motorbikes-101
3605_train.jpg,cake
10135_train.jpg,teapot
12429_train.jpg,leopards-101
19894_train.jpg,ipod
14917_train.jpg,motorbikes-101
10953_train.jpg,telephone-box
19036_train.jpg,tennis-ball
5030_train.jpg,billiards
269_train.jpg,chess-board
15874_train.jpg,waterfall
4295_train.jpg,car-side-101
7716_train.jpg,airplanes-101
15959_train.jpg,cockroach
1299_train.jpg,chopsticks
11597_train.jpg,blimp
16602_train.jpg,trilobite-101
11204_train.jpg,floppy-disk
5083_train.jpg,billiards
13680_train.jpg,revolver-101
19930_train.jpg,zebra
13781_train.jpg,bathtub
19295_train.jpg,snail
4422_train.jpg,umbrella-101
19288_train.jpg,snail
16394_train.jpg,penguin
974_train.jpg,snake
6524_train.jpg,people
8682_train.jpg,windmill
8501_train.jpg,house-fly
7025_train.jpg,clutter
7684_train.jpg,airplanes-101
3939_train.jpg,microwave
9462_train.jpg,fighter-jet
11814_train.jpg,hawksbill-101
17633_train.jpg,faces-easy-101
16093_train.jpg,watch-101
10323_train.jpg,praying-mantis
18651_train.jpg,ibis-101
6513_train.jpg,people
3862_train.jpg,teepee
5161_train.jpg,tennis-racket
2996_train.jpg,electric-guitar-101
3175_train.jpg,goose
9945_train.jpg,covered-wagon
3626_train.jpg,cake
15074_train.jpg,skunk
20966_train.jpg,washing-machine
20713_train.jpg,human-skeleton
7154_train.jpg,clutter
20076_train.jpg,frog
10000_train.jpg,megaphone
19165_train.jpg,tweezer
8270_train.jpg,treadmill
14598_train.jpg,motorbikes-101
3551_train.jpg,sextant
9702_train.jpg,elk
9460_train.jpg,fighter-jet
7428_train.jpg,harmonica
8515_train.jpg,house-fly
18853_train.jpg,sneaker
15104_train.jpg,guitar-pick
21053_train.jpg,steering-wheel
12358_train.jpg,paperclip
13265_train.jpg,wheelbarrow
17076_train.jpg,scorpion-101
14712_train.jpg,motorbikes-101
19239_train.jpg,tweezer
1255_train.jpg,spider
2067_train.jpg,dumb-bell
4378_train.jpg,french-horn
14094_train.jpg,spoon
2217_train.jpg,soda-can
10972_train.jpg,telephone-box
11382_train.jpg,t-shirt
1537_train.jpg,cormorant
18644_train.jpg,ibis-101
19747_train.jpg,goat
8112_train.jpg,airplanes-101
20407_train.jpg,breadmaker
981_train.jpg,snake
4945_train.jpg,billiards
18310_train.jpg,owl
7820_train.jpg,airplanes-101
3196_train.jpg,goose
13325_train.jpg,fire-truck
10712_train.jpg,frying-pan
1202_train.jpg,baseball-glove
248_train.jpg,chess-board
19118_train.jpg,palm-pilot
18655_train.jpg,ibis-101
2336_train.jpg,teddy-bear
20225_train.jpg,minaret
8386_train.jpg,toad
13273_train.jpg,wheelbarrow
12733_train.jpg,cowboy-hat
20994_train.jpg,microscope
7237_train.jpg,clutter
13901_train.jpg,elephant-101
4738_train.jpg,smokestack
14389_train.jpg,porcupine
3647_train.jpg,cake
11089_train.jpg,horse
2089_train.jpg,laptop-101
16290_train.jpg,greyhound
13409_train.jpg,ketch-101
12701_train.jpg,pram
17360_train.jpg,flashlight
7911_train.jpg,airplanes-101
20453_train.jpg,hibiscus
13400_train.jpg,fire-truck
15247_train.jpg,palm-tree
13206_train.jpg,video-projector
19231_train.jpg,tweezer
4613_train.jpg,backpack
4962_train.jpg,billiards
12223_train.jpg,stirrups
3461_train.jpg,hummingbird
16100_train.jpg,watch-101
2976_train.jpg,unicorn
10445_train.jpg,canoe
5614_train.jpg,mussels
19220_train.jpg,tweezer
2048_train.jpg,dumb-bell
13295_train.jpg,wheelbarrow
14143_train.jpg,spoon
715_train.jpg,skateboard
3669_train.jpg,cake
18682_train.jpg,ibis-101
12392_train.jpg,paperclip
3844_train.jpg,teepee
5237_train.jpg,raccoon
1335_train.jpg,chopsticks
10810_train.jpg,segway
3271_train.jpg,bowling-ball
5147_train.jpg,tennis-racket
177_train.jpg,hot-air-balloon
9017_train.jpg,lightning
9171_train.jpg,picnic-table
1646_train.jpg,coffee-mug
8748_train.jpg,roulette-wheel
11560_train.jpg,t-shirt
7640_train.jpg,airplanes-101
16190_train.jpg,watch-101
47_train.jpg,mattress
4715_train.jpg,backpack
6168_train.jpg,diamond-ring
17121_train.jpg,fern
1369_train.jpg,bear
8091_train.jpg,airplanes-101
20778_train.jpg,joy-stick
4922_train.jpg,skyscraper
4820_train.jpg,tripod
2577_train.jpg,vcr
12708_train.jpg,pram
20123_train.jpg,frog
1665_train.jpg,coffee-mug
2566_train.jpg,vcr
421_train.jpg,butterfly
14230_train.jpg,coin
4399_train.jpg,french-horn
14051_train.jpg,mars
9652_train.jpg,basketball-hoop
12102_train.jpg,hot-tub
4996_train.jpg,billiards
410_train.jpg,butterfly
18879_train.jpg,sneaker
17743_train.jpg,faces-easy-101
2515_train.jpg,photocopier
7330_train.jpg,head-phones
18230_train.jpg,american-flag
11009_train.jpg,horse
5781_train.jpg,chimp
3272_train.jpg,bowling-ball
6362_train.jpg,mountain-bike
15106_train.jpg,guitar-pick
12056_train.jpg,xylophone
18617_train.jpg,ibis-101
9776_train.jpg,mushroom
12121_train.jpg,hot-tub
13769_train.jpg,bathtub
15783_train.jpg,touring-bike
14162_train.jpg,coin
12951_train.jpg,minotaur
9666_train.jpg,basketball-hoop
13636_train.jpg,superman
18008_train.jpg,tower-pisa
14404_train.jpg,motorbikes-101
4790_train.jpg,tripod
5886_train.jpg,binoculars
13887_train.jpg,elephant-101
982_train.jpg,snake
7207_train.jpg,clutter
6812_train.jpg,clutter
8311_train.jpg,treadmill
5339_train.jpg,sheet-music
18963_train.jpg,cartman
4659_train.jpg,backpack
7738_train.jpg,airplanes-101
4888_train.jpg,skyscraper
14847_train.jpg,motorbikes-101
5324_train.jpg,sheet-music
9907_train.jpg,covered-wagon
2140_train.jpg,laptop-101
1134_train.jpg,baseball-glove
2152_train.jpg,laptop-101
18393_train.jpg,rainbow
18238_train.jpg,american-flag
11961_train.jpg,ladder
2794_train.jpg,boxing-glove
3406_train.jpg,hummingbird
17766_train.jpg,faces-easy-101
21215_train.jpg,top-hat
4354_train.jpg,french-horn
15622_train.jpg,hammock
19206_train.jpg,tweezer
7487_train.jpg,giraffe
18623_train.jpg,ibis-101
14293_train.jpg,knife
18817_train.jpg,sneaker
4367_train.jpg,french-horn
12772_train.jpg,cowboy-hat
14253_train.jpg,knife
15496_train.jpg,hammock
3712_train.jpg,frisbee
9689_train.jpg,elk
6638_train.jpg,spaghetti
19771_train.jpg,goat
18323_train.jpg,owl
3036_train.jpg,electric-guitar-101
5983_train.jpg,grasshopper
10169_train.jpg,teapot
8857_train.jpg,license-plate
17187_train.jpg,conch
7331_train.jpg,head-phones
13347_train.jpg,fire-truck
18770_train.jpg,wine-bottle
76_train.jpg,mattress
7593_train.jpg,eiffel-tower
14567_train.jpg,motorbikes-101
2144_train.jpg,laptop-101
10233_train.jpg,soccer-ball
15419_train.jpg,harp
16724_train.jpg,pci-card
18974_train.jpg,cartman
